transaction_id,amount,transaction_type,hour_of_day,day_of_week,location_change,new_device,transaction_frequency_24h,customer_avg_amount,distance_from_home_km,account_age_days,is_fraud,customer_id
TXN000078,2713.04,Transfer,17,6,0,0,1,1690.63,2.6,2867,0,CUST0155
TXN000079,1919.72,Purchase,12,2,0,0,3,1796.77,7.0,1715,0,CUST0032
TXN000080,315.91,Transfer,10,2,0,0,2,1158.15,2.9,359,0,CUST0057
TXN000081,517.22,Transfer,10,3,0,0,2,707.34,0.7,2856,0,CUST0113
TXN000082,1373.55,Purchase,9,1,0,0,5,1407.73,0.3,936,0,CUST0121
TXN000083,3266.09,Payment,0,1,1,0,1,1165.79,0.1,3214,0,CUST0049
TXN000084,6173.56,Payment,6,5,0,0,4,1869.67,15.8,2012,0,CUST0376
TXN000085,2892.99,Payment,7,3,0,0,4,588.19,8.9,539,0,CUST0178
TXN000086,5225.84,Payment,17,0,0,0,5,686.14,4.3,41,0,CUST0269
TXN000087,2939.62,Purchase,20,2,0,0,2,4525.49,7.1,269,0,CUST0196
TXN000088,5289.15,Withdrawal,8,4,1,0,1,3503.73,4.4,618,0,CUST0304
TXN000089,4408.74,Withdrawal,16,5,0,1,5,3440.54,10.8,1319,0,CUST0444
TXN000090,397.89,Payment,13,0,0,0,1,2083.13,0.4,2051,0,CUST0078
TXN000091,426.7,Payment,9,4,0,0,5,1008.6,13.0,1745,0,CUST0006
TXN000092,781.83,Purchase,0,4,0,0,1,914.3,0.1,866,0,CUST0323
TXN000093,1762.42,Transfer,14,6,0,0,0,2232.81,4.5,740,0,CUST0222
TXN000094,639.99,Withdrawal,20,2,0,0,1,3025.83,0.7,2284,0,CUST0426
TXN000095,746.02,Payment,14,1,0,1,2,923.28,1.5,3641,0,CUST0126
TXN000096,9047.95,Purchase,18,3,0,0,1,4873.4,0.2,2784,0,CUST0460
TXN000097,5799.89,Withdrawal,12,3,0,0,1,2873.96,2.6,1545,0,CUST0390
TXN000098,1324.86,Purchase,12,0,0,0,1,816.55,3.5,3589,0,CUST0409
TXN000099,9774.65,Payment,9,4,0,0,4,5070.58,1.6,1235,0,CUST0252
TXN000100,5706.0,Purchase,15,0,0,0,0,1024.22,0.4,2304,0,CUST0347
TXN000101,2692.29,Transfer,11,2,0,0,2,1195.38,15.1,2819,0,CUST0500
TXN000102,1244.8,Payment,12,1,0,0,2,5695.63,2.6,3250,0,CUST0227
TXN000103,1108.13,Payment,7,0,0,0,0,845.48,0.1,189,0,CUST0177
TXN000104,772.1,Purchase,12,1,0,0,3,1312.15,21.5,2289,0,CUST0163
TXN000105,655.18,Transfer,15,1,0,0,2,1015.42,7.7,3273,0,CUST0124
TXN000106,3997.76,Payment,9,0,0,0,5,254.15,5.8,2695,0,CUST0135
TXN000107,13392.2,Transfer,10,0,0,0,1,1588.8,1.0,1423,0,CUST0212
TXN000108,1833.73,Transfer,7,6,0,0,1,2482.86,9.2,1301,0,CUST0107
TXN000109,3636.69,Withdrawal,16,0,0,0,0,1352.88,3.7,1272,0,CUST0202
TXN000110,1831.78,Transfer,15,2,0,0,4,2468.62,0.6,3393,0,CUST0139
TXN000111,406.48,Payment,12,0,0,0,2,1760.46,3.5,946,0,CUST0188
TXN000112,2900.48,Transfer,16,5,0,0,2,1462.35,0.5,342,0,CUST0105
TXN000113,576.51,Withdrawal,11,3,0,0,2,2822.09,40.8,1901,0,CUST0135
TXN000114,754.31,Transfer,10,3,0,0,1,1683.59,5.0,2182,0,CUST0208
TXN000115,2679.29,Purchase,10,3,0,0,2,4355.65,10.5,2590,0,CUST0451
TXN000116,228.52,Payment,10,3,0,0,2,221.72,12.4,2452,0,CUST0025
TXN000117,895.0,Withdrawal,13,4,0,0,5,492.47,7.7,613,0,CUST0471
TXN000118,209.91,Purchase,16,3,0,0,3,868.06,14.3,1511,0,CUST0220
TXN000119,893.61,Transfer,12,5,0,0,0,6609.57,1.6,517,0,CUST0116
TXN000120,1000.85,Purchase,8,6,0,0,3,3496.64,0.1,569,0,CUST0085
TXN000121,11575.52,Transfer,18,1,0,0,3,100.0,17.0,1151,0,CUST0260
TXN000122,1379.71,Transfer,6,5,0,0,5,6758.56,3.6,727,0,CUST0051
TXN000123,4796.84,Withdrawal,10,0,0,0,3,2196.74,5.0,115,0,CUST0299
TXN000124,1075.57,Withdrawal,14,4,0,0,3,1367.16,0.0,3354,0,CUST0045
TXN000125,1482.97,Transfer,13,5,1,0,3,1254.9,2.3,324,0,CUST0043
TXN000126,1206.65,Transfer,17,2,0,0,4,4309.8,1.5,2017,0,CUST0136
TXN000127,899.47,Transfer,9,2,0,0,4,1863.44,1.9,874,0,CUST0178
TXN000128,2743.18,Purchase,11,3,0,1,1,2706.14,9.2,627,0,CUST0094
TXN000129,1502.24,Payment,9,4,0,0,2,1071.08,1.2,3393,0,CUST0100
TXN000130,2997.57,Transfer,10,0,0,0,0,1470.67,6.5,1824,0,CUST0444
TXN000131,2954.86,Payment,20,0,0,1,5,2166.93,2.1,2414,0,CUST0159
TXN000132,2369.55,Transfer,13,5,0,0,1,3999.4,18.7,54,0,CUST0288
TXN000133,1359.9,Transfer,18,0,0,0,3,2336.45,0.5,984,0,CUST0037
TXN000134,2433.68,Payment,12,4,0,0,4,5154.89,14.5,841,0,CUST0228
TXN000135,2655.02,Payment,17,5,0,0,6,4133.45,1.0,2600,0,CUST0498
TXN000136,2431.15,Withdrawal,7,6,0,0,4,3299.65,5.4,1502,0,CUST0356
TXN000137,2363.86,Withdrawal,9,5,1,0,3,1146.64,2.8,1133,0,CUST0379
TXN000138,882.87,Transfer,15,1,0,0,2,1119.68,11.4,1707,0,CUST0166
TXN000139,1183.34,Transfer,19,3,1,0,4,6728.3,16.4,2972,0,CUST0372
TXN000140,3835.03,Payment,18,2,0,0,3,4237.04,1.0,2550,0,CUST0098
TXN000141,817.74,Payment,18,3,1,0,4,2085.18,4.0,2036,0,CUST0478
TXN000142,2088.76,Transfer,18,6,1,0,1,3127.37,9.1,339,0,CUST0411
TXN000143,627.84,Payment,9,5,1,0,2,1444.94,4.2,49,0,CUST0435
TXN000144,345.42,Payment,15,3,0,0,1,1159.71,1.4,889,0,CUST0191
TXN000145,2813.87,Payment,16,0,0,0,0,2829.66,1.4,41,0,CUST0392
TXN000146,549.82,Purchase,8,4,0,0,4,715.43,12.3,1603,0,CUST0354
TXN000147,1132.63,Transfer,12,2,0,0,2,1815.5,29.2,201,0,CUST0335
TXN000148,4602.34,Transfer,15,3,1,0,3,635.0,5.7,1618,0,CUST0437
TXN000149,610.25,Transfer,14,4,0,0,3,357.96,3.1,1311,0,CUST0477
TXN000150,4176.19,Transfer,10,1,0,0,3,14577.17,0.9,1467,0,CUST0007
TXN000151,4094.12,Withdrawal,17,6,0,0,2,2003.9,1.1,1735,0,CUST0196
TXN000152,1597.62,Withdrawal,14,4,1,0,6,3708.04,0.2,2579,0,CUST0233
TXN000153,3516.9,Purchase,16,6,0,0,2,1826.39,6.8,2683,0,CUST0175
TXN000154,3729.9,Transfer,2,4,0,0,3,1285.44,1.8,1406,0,CUST0483
TXN000155,586.6,Payment,15,3,0,0,1,854.98,17.0,1488,0,CUST0048
TXN000156,679.43,Payment,9,5,0,0,2,1257.2,3.8,3567,0,CUST0008
TXN000157,11525.05,Transfer,17,4,0,0,0,3122.49,4.1,1683,0,CUST0087
TXN000158,483.49,Payment,12,3,0,0,0,4380.3,1.6,1642,0,CUST0370
TXN000159,910.25,Withdrawal,22,2,0,0,2,6033.0,1.4,1231,0,CUST0415
TXN000160,1350.6,Purchase,22,3,0,0,3,7716.87,1.7,1779,0,CUST0304
TXN000161,674.83,Payment,16,3,0,0,1,2814.36,12.3,3454,0,CUST0154
TXN000162,832.47,Purchase,2,0,0,0,3,4828.36,3.3,73,0,CUST0336
TXN000163,2900.38,Purchase,19,6,0,0,2,2364.15,0.3,433,0,CUST0299
TXN000164,1580.85,Withdrawal,8,2,0,0,1,3575.65,8.2,1622,0,CUST0050
TXN000165,11922.54,Withdrawal,12,0,0,0,7,726.75,6.2,2285,0,CUST0183
TXN000166,1455.6,Payment,16,5,0,0,4,2404.36,3.6,223,0,CUST0149
TXN000167,588.05,Withdrawal,9,2,0,0,2,1999.31,0.6,683,0,CUST0141
TXN000168,166.48,Transfer,18,3,0,0,1,1001.59,5.7,2019,0,CUST0310
TXN000169,252.12,Payment,17,6,0,0,1,1609.81,8.7,3174,0,CUST0051
TXN000170,914.17,Withdrawal,19,4,0,0,1,3052.56,18.3,1812,0,CUST0261
TXN000171,3161.16,Transfer,13,2,0,0,4,5075.04,3.5,2412,0,CUST0459
TXN000172,12747.71,Withdrawal,13,5,0,0,2,1878.75,3.4,2285,0,CUST0366
TXN000173,3595.46,Transfer,16,2,0,0,3,572.97,4.8,1935,0,CUST0308
TXN000174,3039.19,Payment,16,5,0,0,2,480.26,0.1,2340,0,CUST0257
TXN000175,1770.64,Purchase,22,1,0,0,2,1572.82,1.8,1237,0,CUST0266
TXN000176,3633.32,Payment,20,5,1,1,3,3199.78,9.2,2747,0,CUST0466
TXN000177,385.66,Payment,10,3,0,0,3,4665.07,1.8,875,0,CUST0206
TXN000178,709.39,Transfer,21,0,0,0,3,6784.47,3.1,2024,0,CUST0168
TXN000179,2998.1,Withdrawal,18,1,0,0,1,226.61,0.4,2078,0,CUST0362
TXN000180,772.03,Purchase,11,6,0,0,2,2665.48,11.4,3186,0,CUST0198
TXN000181,891.68,Purchase,16,6,0,0,2,922.49,6.9,1694,0,CUST0377
TXN000182,988.45,Purchase,17,3,0,0,4,2454.25,16.5,888,0,CUST0106
TXN000183,2777.6,Transfer,19,6,0,0,0,544.24,4.7,2617,0,CUST0151
TXN000184,990.35,Payment,15,3,1,0,2,360.78,5.7,2822,0,CUST0411
TXN000185,3321.82,Transfer,1,6,0,0,2,2057.2,0.8,500,0,CUST0066
TXN000186,2897.11,Payment,14,5,0,0,3,3253.0,6.6,1406,0,CUST0401
TXN000187,6544.51,Transfer,10,3,0,0,2,4975.74,1.2,1972,0,CUST0345
TXN000188,3985.32,Purchase,16,3,0,0,2,5368.1,0.0,2360,0,CUST0285
TXN000189,2694.95,Payment,10,3,0,0,3,2104.34,5.2,1023,0,CUST0258
TXN000190,1526.49,Payment,10,3,0,0,1,1515.2,6.7,138,0,CUST0331
TXN000191,1082.26,Payment,16,6,0,0,2,5291.39,13.3,3268,0,CUST0333
TXN000192,4579.8,Withdrawal,9,6,0,0,3,2224.27,2.8,2104,0,CUST0313
TXN000193,1152.84,Purchase,9,3,0,0,1,659.0,0.9,1414,0,CUST0372
TXN000194,900.22,Payment,14,4,1,0,1,4557.09,1.1,2735,0,CUST0463
TXN000195,1191.03,Transfer,6,5,0,0,1,6247.38,5.1,1522,0,CUST0452
TXN000196,1950.82,Payment,9,3,0,0,1,1578.42,1.4,1703,0,CUST0265
TXN000197,985.84,Purchase,17,6,0,0,5,2701.24,2.5,1091,0,CUST0121
TXN000198,2055.15,Withdrawal,17,5,0,0,0,1710.73,4.0,1326,0,CUST0162
TXN000199,4961.54,Transfer,15,3,0,0,5,618.06,1.1,2695,0,CUST0482
TXN000200,775.54,Purchase,17,6,0,0,3,1875.19,4.0,3524,0,CUST0434
TXN000201,1282.09,Withdrawal,14,4,0,0,2,1836.87,3.4,1887,0,CUST0233
TXN000202,3923.09,Purchase,3,0,0,0,3,864.65,4.2,1098,0,CUST0419
TXN000203,3249.21,Purchase,11,2,0,0,1,445.51,17.7,3180,0,CUST0095
TXN000204,1106.98,Purchase,10,6,0,0,5,2642.92,1.3,318,0,CUST0161
TXN000205,613.05,Transfer,11,6,0,0,5,2114.88,7.0,1506,0,CUST0162
TXN000206,1368.71,Transfer,10,1,0,0,3,2053.71,0.2,1103,0,CUST0087
TXN000207,1996.86,Transfer,11,1,0,0,3,4184.94,2.3,1762,0,CUST0113
TXN000208,23946.41,Transfer,12,1,0,0,3,1585.09,5.4,1066,0,CUST0027
TXN000209,5425.02,Payment,10,1,0,0,3,2029.63,1.3,1622,0,CUST0054
TXN000210,238.46,Purchase,14,1,0,0,3,1030.23,5.0,1754,0,CUST0422
TXN000211,1518.31,Transfer,20,3,1,0,1,5121.87,4.5,45,0,CUST0055
TXN000212,3864.16,Purchase,9,5,1,0,1,4584.03,0.9,3458,0,CUST0193
TXN000213,38457.9,Transfer,23,6,1,0,4,1413.69,35.5,286,1,CUST0088
TXN000214,2611.06,Payment,20,5,0,0,2,3415.58,10.8,3409,0,CUST0312
TXN000215,1664.54,Payment,18,0,0,0,3,1804.91,0.7,2857,0,CUST0175
TXN000216,539.07,Purchase,9,2,0,0,1,1430.84,5.8,2639,0,CUST0466
TXN000217,1654.83,Payment,16,2,0,0,3,1068.89,3.8,2229,0,CUST0462
TXN000218,1352.3,Transfer,11,4,0,0,5,2018.86,1.4,792,0,CUST0057
TXN000219,2546.15,Transfer,10,0,0,0,4,2048.81,2.2,3536,0,CUST0163
TXN000220,1155.31,Payment,11,5,0,0,2,6533.99,2.1,1420,0,CUST0060
TXN000221,3917.62,Purchase,12,0,0,0,3,852.45,0.6,1460,0,CUST0262
TXN000222,1156.74,Transfer,16,4,0,0,5,692.77,15.2,2431,0,CUST0131
TXN000223,837.17,Payment,8,4,0,0,3,760.61,2.1,2767,0,CUST0352
TXN000224,1499.17,Transfer,11,4,0,0,3,1691.21,17.3,2137,0,CUST0196
TXN000225,166.18,Transfer,20,0,0,0,1,1541.72,3.3,1231,0,CUST0301
TXN000226,1749.31,Payment,15,6,0,0,2,2576.5,2.2,1837,0,CUST0007
TXN000227,3324.7,Transfer,17,2,0,0,4,2482.39,0.0,3408,0,CUST0067
TXN000228,17543.43,Payment,11,1,0,0,3,3495.3,1.7,3343,0,CUST0451
TXN000229,972.85,Purchase,7,0,0,0,3,1372.46,5.2,2576,0,CUST0401
TXN000230,3196.36,Withdrawal,15,3,0,0,2,988.39,3.7,1645,0,CUST0038
TXN000231,8528.36,Payment,6,1,0,0,1,3869.24,2.5,2102,0,CUST0303
TXN000232,670.1,Withdrawal,10,1,0,0,2,3657.17,4.8,3603,0,CUST0449
TXN000233,1445.96,Payment,2,2,0,0,2,947.88,6.0,424,0,CUST0450
TXN000234,2156.39,Transfer,11,1,0,1,0,2768.62,3.8,2247,0,CUST0129
TXN000235,5061.61,Transfer,12,0,0,0,3,1215.41,3.0,1866,0,CUST0011
TXN000236,4315.93,Transfer,14,4,0,0,3,6092.85,0.9,3351,0,CUST0062
TXN000237,3853.7,Transfer,11,3,0,0,2,6848.19,13.7,117,0,CUST0265
TXN000238,2057.75,Transfer,13,6,1,0,3,2577.46,1.4,1726,0,CUST0133
TXN000239,2362.5,Withdrawal,16,0,0,0,4,848.17,0.8,2536,0,CUST0296
TXN000240,10128.16,Purchase,10,4,0,0,3,2202.92,3.5,3463,0,CUST0313
TXN000241,920.64,Transfer,15,5,0,0,2,519.25,2.8,3332,0,CUST0289
TXN000242,1451.46,Payment,10,2,1,0,2,1364.35,1.9,2333,0,CUST0422
TXN000243,1083.15,Payment,7,4,0,0,6,491.72,6.4,3439,0,CUST0440
TXN000244,360.12,Purchase,18,5,0,0,0,637.63,3.7,2481,0,CUST0383
TXN000245,7923.04,Transfer,10,0,0,0,2,740.28,5.4,2314,0,CUST0358
TXN000246,453.35,Transfer,18,6,0,0,3,9052.08,5.5,2598,0,CUST0467
TXN000247,508.1,Transfer,18,5,0,0,3,1573.25,11.1,2750,0,CUST0248
TXN000248,5107.06,Payment,18,5,0,0,4,4702.57,6.1,1744,0,CUST0030
TXN000249,776.14,Transfer,9,2,0,0,1,568.26,4.0,986,0,CUST0253
TXN000250,4244.37,Transfer,12,3,0,0,3,301.56,2.0,2969,0,CUST0417
TXN000251,896.01,Payment,15,5,0,0,5,3577.46,4.3,2631,0,CUST0127
TXN000252,2421.52,Payment,14,6,0,0,2,374.88,1.0,2772,0,CUST0486
TXN000253,10310.74,Payment,12,5,0,0,3,399.86,4.4,3391,0,CUST0341
TXN000254,3139.71,Purchase,16,4,0,0,2,7086.76,0.1,1398,0,CUST0168
TXN000255,1086.71,Payment,19,5,0,0,1,228.47,13.9,1373,0,CUST0452
TXN000256,685.31,Purchase,17,1,0,0,0,3461.32,4.5,695,0,CUST0406
TXN000257,20921.6,Withdrawal,8,6,1,1,8,510.85,12.1,8,1,CUST0470
TXN000258,1624.14,Payment,13,3,0,0,0,2786.14,1.1,931,0,CUST0279
TXN000259,1676.28,Withdrawal,13,4,0,0,4,4362.0,1.8,1700,0,CUST0485
TXN000260,1399.29,Transfer,12,6,0,0,3,2408.96,3.2,2727,0,CUST0457
TXN000261,2123.14,Payment,15,4,0,0,2,2210.87,15.6,491,0,CUST0406
TXN000262,706.58,Withdrawal,16,4,0,0,0,2118.8,1.7,527,0,CUST0445
TXN000263,645.89,Transfer,16,0,1,0,4,5029.45,0.6,1599,0,CUST0036
TXN000264,428.35,Payment,13,3,0,0,3,935.53,17.2,143,0,CUST0252
TXN000265,429.98,Transfer,10,1,0,0,3,2343.94,0.8,909,0,CUST0129
TXN000266,227.61,Payment,12,0,0,0,4,1494.98,0.4,1571,0,CUST0332
TXN000267,1964.18,Transfer,16,2,0,1,4,429.91,2.7,2098,0,CUST0480
TXN000268,2626.35,Payment,10,3,0,0,3,484.73,6.6,3357,0,CUST0323
TXN000269,160.09,Withdrawal,21,3,0,0,1,2809.1,3.0,3320,0,CUST0409
TXN000270,8593.74,Purchase,9,3,0,0,0,1926.35,1.1,2696,0,CUST0467
TXN000271,4432.85,Transfer,11,5,0,0,4,1589.49,9.8,531,0,CUST0197
TXN000272,279.58,Transfer,23,1,0,1,2,470.82,8.2,945,0,CUST0093
TXN000273,9873.64,Purchase,16,0,0,0,4,1398.77,10.2,3231,0,CUST0191
TXN000274,613.35,Payment,18,6,0,0,2,1010.54,11.2,1627,0,CUST0337
TXN000275,679.54,Transfer,17,5,0,0,2,1228.81,6.0,1371,0,CUST0435
TXN000276,486.4,Payment,8,5,0,0,1,2887.65,19.5,2306,0,CUST0278
TXN000277,4464.6,Transfer,8,5,0,0,7,4846.39,8.7,2553,0,CUST0441
TXN000278,726.6,Transfer,20,3,0,0,1,3571.46,6.7,2228,0,CUST0136
TXN000279,5388.96,Purchase,10,0,0,0,5,8762.06,0.8,2439,0,CUST0094
TXN000280,3260.51,Payment,19,6,0,0,2,668.86,9.2,962,0,CUST0427
TXN000281,1064.48,Withdrawal,13,5,0,1,4,12717.19,9.5,1207,0,CUST0232
TXN000282,1746.62,Payment,8,1,0,0,4,3210.69,2.6,2070,0,CUST0184
TXN000283,5000.0,Withdrawal,3,4,0,0,12,732.26,34.5,268,1,CUST0405
TXN000284,317.53,Transfer,10,2,0,0,4,6173.27,16.2,2159,0,CUST0135
TXN000285,2606.49,Transfer,14,2,0,0,2,3959.02,1.0,874,0,CUST0361
TXN000286,965.54,Transfer,11,6,0,0,2,9401.11,1.0,3297,0,CUST0110
TXN000287,4414.27,Transfer,11,1,0,1,3,987.78,3.6,2870,0,CUST0404
TXN000288,2565.22,Transfer,14,1,0,0,7,866.81,0.1,355,0,CUST0064
TXN000289,4655.8,Transfer,22,4,0,0,3,715.56,15.9,3022,0,CUST0013
TXN000290,1821.4,Purchase,7,5,0,0,1,9795.31,4.8,736,0,CUST0228
TXN000291,1879.11,Payment,18,5,0,0,1,382.68,5.0,356,0,CUST0498
TXN000292,685.21,Payment,13,0,0,0,3,3072.19,2.0,1566,0,CUST0201
TXN000293,789.58,Transfer,10,4,0,0,4,1031.83,0.2,1583,0,CUST0398
TXN000294,1206.17,Payment,10,6,0,0,1,608.6,0.2,2271,0,CUST0272
TXN000295,1778.95,Payment,15,0,0,0,3,1937.69,9.3,1364,0,CUST0047
TXN000296,1161.43,Transfer,8,6,0,0,2,299.04,6.8,2227,0,CUST0400
TXN000297,390.52,Transfer,21,3,0,0,3,3266.7,2.1,902,0,CUST0143
TXN000298,8451.59,Purchase,18,4,0,0,3,5253.94,3.7,3567,0,CUST0451
TXN000299,7751.18,Transfer,16,2,0,0,2,2472.96,0.4,1062,0,CUST0261
TXN000300,5950.68,Withdrawal,14,3,0,0,3,1816.83,2.3,3023,0,CUST0389
TXN000301,1309.39,Withdrawal,20,3,0,0,2,917.02,14.3,91,0,CUST0301
TXN000302,2901.97,Purchase,14,2,0,0,4,2290.78,2.0,233,0,CUST0089
TXN000303,2955.52,Transfer,17,4,0,0,4,7131.75,4.3,3426,0,CUST0356
TXN000304,2339.17,Transfer,13,0,0,0,2,1256.43,1.2,345,0,CUST0475
TXN000305,3666.65,Purchase,19,0,0,0,1,3841.02,2.7,519,0,CUST0475
