age,annual_income,employment_type,employment_stability_years,credit_score,existing_loans_count,existing_monthly_debt,requested_loan_amount,loan_tenure_months,dependents,savings_balance,risk_label,approved
31,914000.0,Freelance,4.1,688,1,6726.0,408000.0,36,1,298234.0,LOW,0
37,1307000.0,Salaried,9.6,717,1,2444.0,1023000.0,84,3,1178031.0,LOW,0
28,376000.0,Self-Employed,10.0,650,0,0.0,922000.0,12,2,290174.0,LOW,1
55,471000.0,Salaried,27.0,681,3,16429.0,1076000.0,24,1,54428.0,MEDIUM,1
55,202000.0,Salaried,22.3,669,2,933.0,765000.0,84,2,61288.0,MEDIUM,1
53,427000.0,Salaried,29.2,632,2,7419.0,1226000.0,120,3,362651.0,LOW,1
25,983000.0,Salaried,7.0,775,1,11854.0,1364000.0,36,1,1198087.0,MEDIUM,0
62,408000.0,Salaried,7.3,567,1,609.0,366000.0,12,1,108816.0,MEDIUM,0
59,794000.0,Salaried,9.8,868,1,3962.0,2734000.0,36,3,881260.0,LOW,1
61,482000.0,Salaried,9.6,750,1,1349.0,964000.0,24,4,311428.0,MEDIUM,0
48,656000.0,Freelance,9.8,537,2,3634.0,1783000.0,36,0,227322.0,MEDIUM,1
27,271000.0,Salaried,9.0,662,1,403.0,648000.0,48,2,264710.0,MEDIUM,0
29,569000.0,Business,11.0,666,3,13860.0,397000.0,36,0,349502.0,LOW,1
28,150000.0,Salaried,10.0,711,3,4198.0,77000.0,24,1,123128.0,MEDIUM,0
32,483000.0,Freelance,4.5,600,1,4086.0,819000.0,60,0,285395.0,MEDIUM,1
54,203000.0,Business,0.7,682,0,0.0,332000.0,36,2,148826.0,MEDIUM,0
53,1114000.0,Self-Employed,6.6,670,4,8114.0,3111000.0,48,1,652110.0,HIGH,0
43,862000.0,Self-Employed,3.2,620,2,6893.0,2275000.0,120,0,477965.0,MEDIUM,0
44,715000.0,Salaried,23.6,609,2,6159.0,2778000.0,24,0,607156.0,MEDIUM,0
57,1346000.0,Freelance,3.4,753,2,7810.0,4677000.0,12,1,545152.0,MEDIUM,1
55,306000.0,Business,21.7,544,0,0.0,654000.0,60,1,199974.0,MEDIUM,1
64,1542000.0,Business,11.6,718,0,0.0,3315000.0,120,0,533729.0,MEDIUM,1
60,945000.0,Self-Employed,2.2,743,0,0.0,2641000.0,84,3,117761.0,MEDIUM,1
42,469000.0,Salaried,24.0,662,0,0.0,339000.0,36,1,460629.0,LOW,1
47,1068000.0,Business,17.4,684,1,1727.0,4272000.0,24,3,515634.0,MEDIUM,0
55,278000.0,Salaried,7.1,773,0,0.0,617000.0,48,1,246429.0,LOW,0
21,329000.0,Self-Employed,3.0,623,3,10173.0,1206000.0,48,0,255843.0,MEDIUM,0
55,375000.0,Salaried,1.4,631,2,3647.0,1455000.0,24,1,310233.0,HIGH,0
57,393000.0,Freelance,6.1,640,1,541.0,964000.0,120,3,103539.0,MEDIUM,0
34,287000.0,Salaried,16.0,773,0,0.0,196000.0,48,0,244654.0,LOW,1
23,1126000.0,Salaried,0.6,783,2,18455.0,2726000.0,84,3,1120435.0,LOW,1
21,463000.0,Self-Employed,2.6,568,0,0.0,1163000.0,120,2,63453.0,MEDIUM,0
25,668000.0,Business,1.9,760,2,8077.0,2151000.0,60,5,142457.0,MEDIUM,1
46,384000.0,Self-Employed,25.7,745,3,5691.0,184000.0,12,4,181707.0,LOW,1
34,181000.0,Salaried,9.4,804,1,559.0,367000.0,120,3,78342.0,LOW,1
59,635000.0,Salaried,5.9,710,0,0.0,2359000.0,48,0,596050.0,MEDIUM,0
47,172000.0,Business,15.5,676,2,1089.0,682000.0,48,1,124753.0,MEDIUM,0
29,519000.0,Freelance,11.0,771,1,154.0,523000.0,12,1,340395.0,LOW,1
35,238000.0,Business,1.3,735,0,0.0,838000.0,60,2,39261.0,HIGH,0
35,1780000.0,Self-Employed,17.0,859,1,8389.0,1497000.0,60,2,361382.0,LOW,0
46,934000.0,Freelance,17.2,756,4,12207.0,3187000.0,60,0,621416.0,LOW,1
62,576000.0,Salaried,12.8,692,1,4569.0,764000.0,84,2,580253.0,LOW,0
33,1153000.0,Self-Employed,15.0,586,3,15750.0,4440000.0,120,0,857640.0,MEDIUM,0
52,325000.0,Self-Employed,29.0,633,0,0.0,934000.0,48,2,297218.0,LOW,0
59,749000.0,Salaried,6.9,565,0,0.0,1331000.0,120,2,396706.0,MEDIUM,0
52,609000.0,Business,4.3,662,2,8969.0,816000.0,48,3,163202.0,MEDIUM,1
24,633000.0,Self-Employed,0.9,754,0,0.0,741000.0,60,2,50481.0,MEDIUM,1
50,1159000.0,Salaried,20.1,679,1,3097.0,3267000.0,48,4,1215764.0,LOW,1
57,839000.0,Salaried,13.1,761,0,0.0,3033000.0,120,5,519531.0,MEDIUM,1
43,643000.0,Salaried,17.2,707,1,2518.0,1989000.0,36,2,645479.0,MEDIUM,1
59,200000.0,Self-Employed,22.4,647,1,408.0,678000.0,120,0,156871.0,LOW,1
65,304000.0,Salaried,23.2,687,2,4388.0,970000.0,48,0,287087.0,MEDIUM,1
35,502000.0,Salaried,17.0,717,2,2697.0,1969000.0,84,3,140339.0,MEDIUM,0
63,572000.0,Self-Employed,12.8,691,4,7750.0,1775000.0,60,2,447749.0,MEDIUM,0
49,274000.0,Self-Employed,8.8,692,2,4256.0,295000.0,120,1,227826.0,LOW,1
56,2297000.0,Business,19.2,618,2,42487.0,7417000.0,24,1,1312090.0,MEDIUM,0
33,1342000.0,Self-Employed,12.5,645,2,24816.0,2002000.0,60,1,1188893.0,LOW,0
52,776000.0,Business,17.8,860,3,14033.0,3092000.0,24,0,1097030.0,MEDIUM,1
27,564000.0,Freelance,9.0,778,1,3203.0,955000.0,48,1,31577.0,LOW,1
42,476000.0,Business,4.6,562,1,4686.0,658000.0,48,2,204617.0,MEDIUM,1
48,305000.0,Self-Employed,14.1,490,2,1472.0,361000.0,84,1,181885.0,LOW,1
22,566000.0,Salaried,0.1,686,0,0.0,1549000.0,24,4,468092.0,HIGH,1
62,631000.0,Freelance,24.0,751,3,15728.0,444000.0,120,2,379711.0,LOW,1
65,257000.0,Salaried,14.8,638,1,1316.0,984000.0,60,3,226824.0,MEDIUM,0
26,660000.0,Salaried,5.0,761,1,5857.0,917000.0,12,0,568904.0,MEDIUM,1
48,492000.0,Salaried,12.4,684,2,3156.0,685000.0,120,2,311018.0,LOW,1
48,172000.0,Salaried,23.6,666,1,698.0,81000.0,12,0,55730.0,LOW,1
64,322000.0,Freelance,12.4,740,4,14437.0,390000.0,60,3,152592.0,MEDIUM,1
64,422000.0,Self-Employed,20.9,637,5,11121.0,781000.0,48,0,434132.0,MEDIUM,0
40,1677000.0,Self-Employed,15.2,657,2,24776.0,2796000.0,24,3,1638793.0,MEDIUM,1
50,755000.0,Self-Employed,7.2,733,0,0.0,989000.0,120,4,643578.0,LOW,1
31,242000.0,Self-Employed,13.0,677,1,541.0,109000.0,24,1,231931.0,MEDIUM,0
48,723000.0,Salaried,2.5,832,1,324.0,1021000.0,60,1,164527.0,MEDIUM,0
45,214000.0,Self-Employed,15.7,735,3,3406.0,680000.0,60,2,75686.0,MEDIUM,1
59,1035000.0,Business,6.3,730,0,0.0,1991000.0,36,2,1106419.0,LOW,1
53,407000.0,Salaried,2.0,676,0,0.0,560000.0,84,2,220292.0,LOW,1
21,511000.0,Business,2.4,749,0,0.0,730000.0,24,0,381771.0,MEDIUM,0
47,1197000.0,Salaried,15.0,654,1,12884.0,2815000.0,84,3,1136225.0,MEDIUM,0
33,250000.0,Salaried,15.0,702,3,5570.0,355000.0,36,0,122235.0,MEDIUM,0
61,234000.0,Salaried,22.3,606,0,0.0,616000.0,48,1,115092.0,MEDIUM,0
23,381000.0,Salaried,1.8,763,0,0.0,1509000.0,24,1,68072.0,HIGH,0
59,1008000.0,Business,12.3,703,2,16457.0,456000.0,84,4,1154826.0,LOW,1
26,217000.0,Business,8.0,838,3,1571.0,201000.0,60,2,294184.0,LOW,1
28,150000.0,Salaried,10.0,871,3,2348.0,144000.0,60,2,69561.0,LOW,1
47,412000.0,Self-Employed,12.6,741,2,8506.0,805000.0,48,0,431579.0,MEDIUM,1
29,752000.0,Business,11.0,685,0,0.0,341000.0,84,3,630273.0,LOW,1
57,1110000.0,Salaried,28.4,604,1,1790.0,2294000.0,84,1,190791.0,MEDIUM,1
53,409000.0,Salaried,5.8,752,5,5736.0,1528000.0,12,1,28642.0,MEDIUM,0
62,422000.0,Freelance,27.2,696,5,14557.0,145000.0,36,5,22641.0,MEDIUM,0
64,1080000.0,Self-Employed,1.6,723,2,6797.0,1782000.0,60,0,124517.0,MEDIUM,1
44,176000.0,Freelance,9.3,818,2,2214.0,548000.0,84,2,152751.0,LOW,1
35,428000.0,Salaried,8.6,614,4,6462.0,373000.0,120,1,217785.0,LOW,1
52,606000.0,Business,18.8,606,1,3835.0,356000.0,24,1,595340.0,MEDIUM,0
52,708000.0,Salaried,3.9,661,0,0.0,1865000.0,84,1,237667.0,MEDIUM,1
44,398000.0,Salaried,26.0,745,2,9751.0,134000.0,24,4,359370.0,LOW,1
61,552000.0,Self-Employed,24.9,724,4,13599.0,1803000.0,120,0,268149.0,MEDIUM,1
32,150000.0,Salaried,14.0,608,2,2789.0,82000.0,24,1,19045.0,LOW,1
59,364000.0,Salaried,13.8,740,3,9562.0,815000.0,48,3,391341.0,LOW,1
22,709000.0,Salaried,3.1,583,1,4348.0,2154000.0,120,4,281478.0,HIGH,0
23,300000.0,Salaried,3.0,612,0,0.0,359000.0,12,1,274803.0,MEDIUM,1
57,560000.0,Business,15.0,670,0,0.0,383000.0,36,1,577128.0,LOW,1
37,707000.0,Self-Employed,19.0,635,5,30090.0,672000.0,24,2,605254.0,MEDIUM,1
22,440000.0,Salaried,0.9,751,1,2530.0,1523000.0,24,2,32765.0,MEDIUM,1
22,599000.0,Salaried,3.3,702,0,0.0,1744000.0,60,0,668255.0,LOW,1
48,303000.0,Salaried,9.9,821,4,272.0,313000.0,12,3,63277.0,LOW,1
43,477000.0,Self-Employed,13.9,660,1,1955.0,1407000.0,60,2,480953.0,MEDIUM,1
57,779000.0,Salaried,2.3,670,3,4388.0,2276000.0,48,0,529779.0,MEDIUM,0
52,594000.0,Business,10.7,776,1,6728.0,2371000.0,48,2,303478.0,MEDIUM,1
53,380000.0,Salaried,20.9,672,0,0.0,665000.0,36,2,305670.0,MEDIUM,1
21,618000.0,Salaried,0.1,799,2,6092.0,2163000.0,120,2,427937.0,LOW,1
39,830000.0,Business,21.0,723,5,36939.0,1620000.0,48,3,791641.0,MEDIUM,1
22,158000.0,Business,2.4,491,0,0.0,572000.0,120,0,65671.0,MEDIUM,0
64,1083000.0,Salaried,18.2,774,3,19401.0,692000.0,36,2,540347.0,LOW,0
46,442000.0,Business,5.6,753,0,0.0,419000.0,60,3,209912.0,LOW,1
52,698000.0,Self-Employed,20.9,756,1,2364.0,2404000.0,24,2,327220.0,MEDIUM,0
26,1108000.0,Business,2.1,527,1,5803.0,3691000.0,24,2,460428.0,HIGH,0
52,237000.0,Self-Employed,8.5,626,3,3240.0,339000.0,120,3,33809.0,MEDIUM,0
24,353000.0,Self-Employed,1.4,632,1,1539.0,885000.0,12,0,244927.0,MEDIUM,0
31,454000.0,Freelance,9.3,612,1,748.0,779000.0,48,1,164291.0,MEDIUM,1
37,338000.0,Salaried,1.5,819,3,11576.0,114000.0,12,3,264507.0,MEDIUM,0
58,1530000.0,Self-Employed,25.0,679,0,0.0,607000.0,12,2,923685.0,LOW,1
44,323000.0,Self-Employed,9.3,677,0,0.0,162000.0,24,3,308944.0,LOW,1
25,387000.0,Salaried,1.9,724,0,0.0,967000.0,48,1,399628.0,MEDIUM,0
54,611000.0,Salaried,2.2,725,2,10077.0,815000.0,24,1,721754.0,MEDIUM,1
26,263000.0,Salaried,7.6,413,1,1168.0,219000.0,120,3,45461.0,MEDIUM,0
42,426000.0,Self-Employed,5.3,628,3,2334.0,1611000.0,84,0,29071.0,HIGH,0
31,654000.0,Self-Employed,13.0,566,1,7880.0,490000.0,12,3,265884.0,MEDIUM,0
36,443000.0,Self-Employed,9.7,712,0,0.0,1238000.0,48,1,466920.0,MEDIUM,0
53,511000.0,Salaried,24.1,656,3,13057.0,1844000.0,84,5,336426.0,MEDIUM,1
29,393000.0,Self-Employed,5.2,681,1,4324.0,356000.0,84,3,173099.0,MEDIUM,0
26,218000.0,Freelance,8.0,513,4,274.0,239000.0,84,2,139850.0,LOW,1
36,655000.0,Salaried,18.0,655,1,5937.0,1587000.0,120,2,506558.0,LOW,1
49,1549000.0,Self-Employed,19.6,769,0,0.0,3379000.0,24,2,1423369.0,LOW,1
23,546000.0,Business,4.0,792,1,4366.0,1216000.0,36,3,379924.0,LOW,1
40,619000.0,Business,22.0,737,0,0.0,1456000.0,84,2,410653.0,LOW,1
56,819000.0,Self-Employed,6.9,573,0,0.0,3124000.0,36,5,433579.0,MEDIUM,0
39,252000.0,Business,14.8,780,1,1746.0,126000.0,60,0,184495.0,LOW,1
46,1501000.0,Salaried,26.5,737,0,0.0,4674000.0,60,2,424422.0,MEDIUM,1
23,610000.0,Business,2.8,670,0,0.0,708000.0,48,1,181378.0,LOW,1
39,1439000.0,Salaried,1.7,517,1,689.0,2421000.0,60,0,471504.0,LOW,1
40,348000.0,Salaried,7.0,756,1,927.0,219000.0,120,1,373626.0,LOW,1
52,1609000.0,Salaried,19.0,632,1,1584.0,3136000.0,48,1,796781.0,MEDIUM,0
27,860000.0,Business,7.8,707,0,0.0,2817000.0,12,0,928343.0,MEDIUM,0
61,753000.0,Salaried,5.7,685,2,290.0,501000.0,36,1,677177.0,LOW,1
53,622000.0,Salaried,13.8,803,2,6549.0,821000.0,48,4,716641.0,LOW,1
60,466000.0,Salaried,18.4,669,2,2081.0,783000.0,120,2,83236.0,LOW,1
59,1110000.0,Freelance,7.5,678,1,11873.0,760000.0,120,1,218574.0,LOW,1
38,588000.0,Business,9.0,806,0,0.0,1835000.0,12,4,205798.0,MEDIUM,0
60,166000.0,Self-Employed,18.4,627,1,1189.0,533000.0,36,2,114351.0,LOW,1
21,276000.0,Self-Employed,2.1,745,3,5061.0,936000.0,24,1,167446.0,MEDIUM,0
31,483000.0,Self-Employed,13.0,664,1,1545.0,1188000.0,12,3,103684.0,MEDIUM,1
48,651000.0,Salaried,23.5,599,0,0.0,1417000.0,24,1,477886.0,MEDIUM,1
45,522000.0,Freelance,11.0,680,0,0.0,664000.0,60,1,310548.0,LOW,1
43,1123000.0,Salaried,8.2,735,4,43922.0,3059000.0,120,1,1006523.0,LOW,1
51,168000.0,Salaried,13.6,788,2,343.0,327000.0,48,1,199901.0,LOW,1
50,589000.0,Salaried,24.2,797,1,5216.0,2292000.0,36,2,713272.0,MEDIUM,1
62,182000.0,Self-Employed,13.7,656,1,1690.0,707000.0,120,2,63353.0,MEDIUM,0
55,852000.0,Self-Employed,25.4,601,3,17859.0,3109000.0,60,2,155273.0,MEDIUM,0
27,511000.0,Self-Employed,9.0,654,0,0.0,834000.0,12,2,247406.0,MEDIUM,0
36,695000.0,Salaried,2.2,585,1,4684.0,1155000.0,120,0,75445.0,MEDIUM,0
46,322000.0,Self-Employed,1.4,662,2,4047.0,1112000.0,60,0,26459.0,HIGH,0
22,1164000.0,Salaried,1.2,652,1,6922.0,3489000.0,24,1,1214573.0,MEDIUM,0
21,1010000.0,Salaried,3.0,738,0,0.0,2935000.0,120,2,1195200.0,LOW,1
32,767000.0,Salaried,3.9,503,0,0.0,1024000.0,24,3,230614.0,MEDIUM,1
25,500000.0,Business,7.0,621,3,3429.0,1692000.0,84,1,418109.0,MEDIUM,0
57,765000.0,Salaried,0.7,621,1,931.0,1870000.0,48,4,192964.0,MEDIUM,0
52,354000.0,Self-Employed,9.5,774,3,3219.0,692000.0,60,0,197807.0,MEDIUM,0
29,903000.0,Business,5.5,590,2,5948.0,3162000.0,84,4,635989.0,MEDIUM,0
61,1454000.0,Self-Employed,27.9,698,4,17817.0,2557000.0,36,3,942736.0,MEDIUM,1
55,1027000.0,Self-Employed,20.1,669,3,8123.0,2793000.0,24,1,930743.0,LOW,0
39,349000.0,Salaried,21.0,763,1,3208.0,706000.0,12,1,431341.0,LOW,1
36,671000.0,Salaried,18.0,727,1,6866.0,1673000.0,60,1,33781.0,MEDIUM,1
23,249000.0,Self-Employed,0.0,689,2,2036.0,112000.0,36,1,261013.0,MEDIUM,1
40,762000.0,Self-Employed,7.0,635,2,5813.0,1529000.0,36,2,341906.0,MEDIUM,1
44,708000.0,Business,5.8,531,1,7470.0,1670000.0,120,2,258667.0,MEDIUM,0
53,176000.0,Business,6.7,699,3,4118.0,374000.0,36,3,6865.0,MEDIUM,1
44,269000.0,Salaried,21.3,722,0,0.0,924000.0,36,2,268512.0,MEDIUM,0
31,456000.0,Salaried,1.2,554,1,4068.0,662000.0,84,1,312862.0,LOW,1
28,451000.0,Self-Employed,1.5,581,2,3885.0,1611000.0,24,4,381213.0,HIGH,0
56,262000.0,Salaried,18.2,700,0,0.0,470000.0,48,0,58788.0,LOW,1
58,682000.0,Salaried,19.3,707,1,8462.0,1957000.0,60,3,191248.0,MEDIUM,1
60,628000.0,Business,20.0,600,4,9470.0,390000.0,24,1,200067.0,MEDIUM,0
40,481000.0,Salaried,11.2,634,2,11190.0,501000.0,120,0,271620.0,MEDIUM,1
55,343000.0,Freelance,24.2,533,4,5499.0,1069000.0,48,0,107958.0,MEDIUM,1
45,1014000.0,Business,16.0,790,2,13696.0,350000.0,36,1,428326.0,LOW,1
55,1459000.0,Business,3.2,576,2,16778.0,5666000.0,12,0,285777.0,HIGH,0
45,404000.0,Salaried,23.9,723,2,7910.0,406000.0,36,2,90030.0,LOW,0
49,374000.0,Salaried,28.6,677,0,0.0,1359000.0,48,1,203584.0,MEDIUM,0
38,726000.0,Self-Employed,1.8,783,1,5691.0,1604000.0,48,1,436671.0,MEDIUM,1
38,436000.0,Salaried,11.7,616,1,4146.0,1042000.0,12,0,346476.0,MEDIUM,1
22,497000.0,Salaried,1.7,684,5,14666.0,304000.0,84,2,462669.0,MEDIUM,1
55,842000.0,Salaried,4.4,544,1,1108.0,1390000.0,24,2,524726.0,HIGH,0
36,172000.0,Salaried,18.0,524,0,0.0,151000.0,84,5,121193.0,LOW,1
61,1192000.0,Salaried,8.5,727,2,20254.0,2677000.0,12,0,197738.0,MEDIUM,0
